127.0.0.1 - - [24/Aug/2022:09:36:35 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:36:37 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1120
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:36:37 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:37:07 +0530] "POST /FlyAway-An-Airline-Booking-Portal/BookFlight.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:37:07 +0530] "GET /FlyAway-An-Airline-Booking-Portal/UserScreen.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:37:18 +0530] "POST /FlyAway-An-Airline-Booking-Portal/HomeScreen.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:37:28 +0530] "POST /FlyAway-An-Airline-Booking-Portal/FlightList.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:39:02 +0530] "GET /FlyAway-An-Airline-Booking-Portal/UserScreen.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:39:26 +0530] "GET /FlyAway-An-Airline-Booking-Portal/UserRegistration.jsp HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:39:52 +0530] "POST /FlyAway-An-Airline-Booking-Portal/UserScreen.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:40:01 +0530] "POST /FlyAway-An-Airline-Booking-Portal/HomeScreen.jsp HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:40:04 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminScreen.jsp HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:40:10 +0530] "GET /FlyAway-An-Airline-Booking-Portal/UserScreen.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:40:45 +0530] "POST /FlyAway-An-Airline-Booking-Portal/BookFlight.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:40:45 +0530] "GET /FlyAway-An-Airline-Booking-Portal/UserScreen.jsp HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:46:28 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:46:47 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:46:56 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:48:07 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:53:02 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:53:59 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:54:53 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1792
0:0:0:0:0:0:0:1 - - [24/Aug/2022:09:55:14 +0530] "GET /FlyAway-An-Airline-Booking-Portal/AdminHome.jsp HTTP/1.1" 200 1793
